Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Ashlie Bagwell,F,SBD,Raw,44.5,40-44,40-49,FR-O,50.2,52,62.5,67.5,70,,70,37.5,42.5,-45,,42.5,80,87.5,90,,90,202.5,3,253.01,259.35,230.25,52.74,Yes,USA,DC,USAPL,IPF,2018-04-28,USA,DC,,District Open,Yes
Delmis Hernandez,F,SBD,Raw,28,24-34,24-39,FR-O,65.2,67.5,122.5,130,-137.5,,130,60,65,67.5,,67.5,157.5,162.5,-167.5,,162.5,360,3,379.28,376.82,332.59,77.09,Yes,USA,MD,USAPL,,2023-07-07,USA,NJ,,Mid Atlantic Regional Championship,Yes
Bobbi Wagner,F,SBD,Raw,37.5,35-39,24-39,FR-O,67.7,72,95,102.5,107.5,,107.5,60,65,-67.5,,65,122.5,132.5,140,,140,312.5,4,322.07,318.27,280.74,65.44,Yes,USA,TX,USAPL,IPF,2018-02-25,USA,TX,,Texas Strength Classic,Yes
Derek Mendez,M,SBD,Raw,21.5,20-23,19-23,MR-Jr,80.45,82.5,197.5,215,-222.5,,215,110,120,-127.5,,120,220,245,-257.5,,245,580,1,398.62,394.57,380.09,81.57,Yes,USA,NY,USAPL,,2023-06-24,USA,CT,,CT Summer Showdown,Yes
Chad Looker,M,SBD,Raw,30,24-34,24-39,MR-O,99.2,105,,,,,225,,,,,135,,,,,262.5,622.5,13,384.50,380.08,363.07,78.94,Yes,USA,,USAPL,IPF,2014-12-12,USA,MA,,American Open,Yes
Parker Tims,M,SBD,Raw,21.5,20-23,19-23,MR-Jr,90.3,93,260,267.5,-275,,267.5,167.5,175,-180,,175,262.5,275,-280,,275,717.5,1,463.16,457.28,438.19,95.23,Yes,USA,KS,USAPL,IPF,2017-12-02,USA,KS,,Kansas State Championship,Yes
Stacey Koury,F,SBD,Raw,37,35-39,24-39,FR-O,85,84+,-67.5,67.5,82.5,,82.5,45,-55,-55,,45,100,115,122.5,,122.5,250,1,228.76,221.64,193.60,47.00,Yes,USA,GA,USAPL,IPF,2017-09-16,USA,GA,,Powerlifting For Pups,Yes
Nick Heintz,M,SBD,Raw,26.5,24-34,24-39,MR-O,82.4,83,197.5,210,220,,220,110,112.5,115,,115,217.5,-227.5,-227.5,,217.5,552.5,5,374.52,370.39,356.41,76.76,Yes,USA,WA,USAPL,IPF,2019-07-27,USA,WA,,Northwest Regionals,Yes
Mark Adrian Tabios,M,SBD,Raw,26.5,24-34,24-39,MR-O,89.1,90,182.5,195,202.5,,202.5,142.5,145,150,,150,232.5,242.5,250,,250,602.5,1,391.57,386.62,370.70,80.50,Yes,USA,HI,USAPL,,2024-04-27,USA,HI,,Wahine Open & Kane Classic,Yes
Ryan DeVita,M,SBD,Raw,42,40-44,40-49,MR-O,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,USA,CA,USAPL,IPF,2019-05-25,USA,CA,Mountain View,Boss of NorCal 10,Yes
Mags Wilbur,F,B,Single-ply,32.5,24-34,24-39,F-O,68.25,72,,,,,,107.5,-112.5,-112.5,,107.5,,,,,,107.5,1,110.28,108.86,96.01,61.88,Yes,USA,CT,USAPL,IPF,2019-11-09,USA,CT,,Veteran's Day Meet & Bench Press Championships,Yes
