Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Elliott Son,M,SBD,Raw,16.5,16-17,14-18,MR-T2,77.1,82.5,-130,140,147.5,,147.5,-107.5,110,115,,115,165,180,187.5,,187.5,450,1,317.29,314.67,303.69,64.68,Yes,USA,CA,USAPL,,2024-03-23,USA,CA,,SoCal Showdown 3: Revenge of the Lifts,Yes
Jennifer Council,F,SBD,Raw,43.5,40-44,40-49,FR-M1a,105.5,84+,142.5,152.5,165,,165,85,92.5,-100,,92.5,170,180,185,,185,442.5,1,370.11,363.20,309.82,77.85,Yes,USA,CO,USAPL,IPF,2017-02-11,USA,CO,,Colorado State Championships,Yes
Christopher Tran #1,M,SBD,Single-ply,32,24-34,24-39,M-O,58.9,59,240,-255,255,,255,145,-150,150,,150,240,250,-262.5,,250,655,2,561.39,568.24,555.47,95.49,Yes,USA,MS,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Equipped Nationals,Yes
Rhonda Clark,F,SBD,Single-ply,47.5,45-49,40-49,F-M1,71.8,72,,,,,152.5,,,,,85,,,,,200,437.5,1,436.24,427.81,376.86,73.73,Yes,USA,,USAPL,IPF,2013-05-18,USA,,,Women's National Championships,Yes
Cole Renfro,M,SBD,Raw,19,18-19,19-23,MR-O,87.3,93,217.5,225,-230,,225,117.5,122.5,127.5,,127.5,240,247.5,255,,255,607.5,1,399.01,394.07,378.19,81.99,Yes,USA,PA,USAPL,IPF,2021-01-16,USA,MD,,Chiseled Winter Classic,Yes
Kiara Smith,F,B,Raw,,,,Class 1A,44.5,45.8,,,,,,47.63,49.9,-52.16,,49.9,,,,,,49.9,4,68.14,69.73,62.47,56.49,Yes,,,FHSAA,,2022-02-10,USA,FL,Port St. Joe,Girls Weightlifting State Championships,Yes
Owen Bememan,M,D,Raw,,,,MOR-AD,62.1,67.5,,,,,,,,,,,,,,,90,90,G,73.89,74.43,72.54,,Yes,,,UPA,,2014-03-29,USA,MN,Rosemount,Relentless Minnesota,Yes
Jake Prazak,M,B,Multi-ply,36,35-39,24-39,MO,108.41,110,,,,,,371.95,-408.23,-408.23,,371.95,,,,,,371.95,1,221.52,219.89,210.08,113.85,,USA,,UPA,,2013-11-01,USA,MI,Detroit,Relentless Detroit,Yes
Daniel Mills #2,M,SBD,Wraps,29.5,24-34,24-39,MOR,125,125,,,,,227.48,,,,,154.9,,,,,244.94,627.32,1,355.54,357.48,342.09,71.65,,USA,,UPA,,2018-05-19,USA,WA,Aberdeen,Washington State Open,Yes
Jared Gochenour,M,B,Raw,,,,MOR,135.62,140,,,,,,204.12,213.19,-226.8,,213.19,,,,,,213.19,1,117.89,119.72,114.04,85.53,,USA,OR,UPA,,2016-01-09,USA,OR,Oregon City,Skip Leg Day Bench Only Meet,Yes
Mariana Parra,F,SBD,Raw,16.5,16-17,14-18,Sub-Juniors,48.9,52,65,72.5,77.5,,77.5,30,35,-37.5,,35,65,72.5,-80,,72.5,185,2,235.53,241.67,214.85,49.36,Yes,,,CBLB,IPF,2022-06-16,Brazil,,,Campeonato Paulista De Powerlifting,Yes
Kamil Wojcik,M,SBD,Wraps,31,24-34,24-39,Open,151,140+,235,245,-255,,245,120,127.5,132.5,,132.5,205,222.5,230,,230,607.5,2,326.11,335.81,317.35,64.32,,Poland,,XPC,XPC,2023-03-22,Poland,,,European Championship,Yes
Ashley Rios,F,SBD,Single-ply,,,,Girls,46.99,47.8,,,,,117.93,,,,,43.09,,,,,115.67,276.69,20,362.68,372.18,331.78,60.64,Yes,USA,,THSWPA,,2018-03-03,USA,TX,PSJA SOUTHWEST SOUTH PHARR TEXAS,Region V Division I,Yes
Isabella Murray,F,SBD,Unlimited,,,,Girls,73.44,75,,,,,133.81,,,,,61.23,,,,,117.93,312.98,5,308.27,301.54,265.45,52.18,Yes,,,THSWPA,,2024-02-03,USA,TX,Willis,Willis Wildkat Invitational,Yes
Tiffany Goranson,F,SBD,Single-ply,,16-17,14-18,Girls,95.39,100,,,,,106.59,,,,,54.43,,,,,136.08,297.1,3,258.37,251.11,216.94,44.64,Yes,,,THSWPA,,2016-01-23,USA,TX,Vanderbilt,Industrial Powerlifting Meet,Yes
Sarahi DeLeon,F,SBD,Single-ply,,,,Girls,80.01,82.3,,,,,106.59,,,,,45.36,,,,,104.33,256.28,2,241.46,234.48,205.64,41.11,Yes,,,THSWPA,,2016-02-10,USA,TX,Waller,Waller High Girls Meet,Yes
Brooklyn Brawner,F,SBD,Unlimited,,,,Girls,119.93,110+,,,,,138.35,,,,,68.04,,,,,115.67,322.05,5,258.45,257.56,218.25,45.52,Yes,,,THSWPA,,2024-03-02,USA,TX,PINE TREE HIGH SCHOOL PIRATE CENTER,REGION 3 4A SMALL,Yes
Kayleigh Hernandez,F,SBD,Single-ply,,18-19,,Girls,90.17,100,,,,,136.08,,,,,79.38,,,,,154.22,369.68,3,329.30,319.18,277.38,56.61,Yes,,,THSWPA,,2021-03-02,USA,TX,Kermit,Region 1 Division 3 Regional,Yes
Treasure Hines,F,SBD,Single-ply,,,,Girls,52.98,56,,,,,92.99,,,,,54.43,,,,,95.25,242.67,6,292.00,298.17,264.13,48.79,Yes,,,THSWPA,,2016-02-20,USA,TX,Maud,Maud Invitational Powerlifting Meet,Yes
Alexia Correa,F,SBD,Single-ply,,,,Girls,118.93,100+,,,,,226.8,,,,,92.99,,,,,181.44,501.22,2,403.19,401.45,340.34,70.98,Yes,,,THSWPA,,2014-03-01,USA,TX,Weslaco East,Girls Regional Meet Region 5,Yes
Samantha Loera,F,SBD,Single-ply,,,,Girls,43.36,44.2,,,,,86.18,,,,,31.75,,,,,86.18,204.12,4,284.34,290.21,260.75,47.65,Yes,,,THSWPA,,2018-03-03,USA,TX,Monahans,Girls Region 1 Division 2,Yes
Analilia Ortiz,F,SBD,Single-ply,,16-17,,Girls,85.46,90,,,,,99.79,,,,,49.9,,,,,104.33,254.01,4,231.84,224.61,196.11,39.68,Yes,,,THSWPA,,2014-02-01,USA,TX,Santo,Santo Invitational,Yes
Peyton Garner,F,SBD,Single-ply,,,,Girls,53.39,56,,,,,131.54,,,,,63.5,,,,,131.54,326.59,10,390.91,398.89,353.26,65.33,Yes,USA,,THSWPA,,2019-03-15,USA,TX,Waco,3A State Meet,Yes
Ariana Crook,F,SBD,Single-ply,,,,Girls,74.75,75,,,,,86.18,,,,,31.75,,,,,97.52,215.46,11,210.22,205.25,180.58,35.62,Yes,,,THSWPA,,2016-02-20,USA,TX,,Stephenville Powerlifting Meet,Yes
Kora Cornelius,F,SBD,Unlimited,,,,Girls,106.32,110,,,,,147.42,,,,,74.84,,,,,136.08,358.34,5,298.89,293.57,250.17,52.13,Yes,,,THSWPA,,2024-01-20,USA,TX,Princeton Multipurpose Facility,Princeton Girls Invitational,Yes
Elizabeth Alejandro,F,SBD,Single-ply,17.5,18-19,14-18,Girls,66.5,67.3,,,,,122.47,,,,,,,,,,,,DQ,,,,,Yes,USA,,THSWPA,,2017-01-14,USA,TX,HIGH SCHOOL,CARRIZO SPRINGS,Yes
Bailey Grant,F,SBD,Unlimited,,18-19,,Girls,134.54,117.7+,,,,,102.06,,,,,68.04,,,,,124.74,294.84,1,230.25,230.97,194.71,40.79,Yes,,,THSWPA,,2022-01-28,USA,TX,Santo,Santo Invitational,Yes
Anastasia Rodriguez,F,SBD,Single-ply,,18-19,14-18,Girls,43.82,44.2,,,,,102.06,,,,,61.23,,,,,95.25,258.55,13,357.24,365.05,327.58,59.84,Yes,,,THSWPA,,2017-03-18,USA,TX,Waco Texas,Girls State Meet,Yes
Faith Stein,F,SBD,Single-ply,,,,Girls,69.22,75,,,,,79.38,,,,,40.82,,,,,102.06,222.26,3,226.18,222.84,196.48,38.14,Yes,,,THSWPA,,2021-01-28,USA,TX,The Woodlands,TWHS Quad Meet,Yes
Michelle Rivas,F,SBD,Single-ply,,,,Girls,50.8,51.9,,,,,52.16,,,,,22.68,,,,,79.38,154.22,13,191.08,195.74,173.67,31.92,Yes,,,THSWPA,,2015-02-07,USA,TX,San Marcos Texas,San Marcos Rattler Powerlifting Meet,Yes
Glorianna Jimenez,F,SBD,Unlimited,,,,Girls,85.05,90,,,,,140.61,,,,,70.31,,,,,145.15,356.07,4,325.72,315.59,275.65,55.73,Yes,,,THSWPA,,2024-01-31,USA,TX,Natalia,Mustang Powerlifting Meet 5,Yes
Regan Boissiere,F,SBD,Single-ply,,18-19,,Girls,50.89,51.9,,,,,117.93,,,,,58.97,,,,,,,DQ,,,,,Yes,,,THSWPA,,2019-03-01,USA,TX,Robstown Texas,Region 5 Division 3 Powerlifting Meet,Yes
Kaylyn Hayes,F,SBD,Single-ply,,16-17,,Girls,88.9,90,,,,,99.79,,,,,54.43,,,,,113.4,267.62,6,239.90,232.44,202.28,41.19,Yes,,,THSWPA,,2017-02-18,USA,TX,Mertzon,IC Last Qualifier,Yes
Ashton Roberts,F,SBD,Single-ply,,16-17,,Girls,61.23,67.3,,,,,68.04,,,,,36.29,,,,,83.91,188.24,8,206.04,206.61,182.50,34.55,Yes,,,THSWPA,,2016-02-13,USA,TX,Mount Pleasant,Mount Pleasant Invitational,Yes
Hope Pridgen,F,SBD,Single-ply,16,16-17,14-18,Girls,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,USA,,THSWPA,,2017-02-16,USA,TX,Bridge City Middle School,Bridge City Invitational,Yes
Angel Caranza,F,SBD,Unlimited,,,,Girls,98.79,100,,,,,145.15,,,,,72.57,,,,,122.47,340.19,2,291.69,284.27,244.58,50.55,Yes,,,THSWPA,,2022-01-22,USA,TX,Mathis,Mathis Invitational Powerlifting Meet,Yes
Evie Davis,F,SBD,Single-ply,,16-17,,Girls,59.87,60.1,,,,,72.57,,,,,34.02,,,,,83.91,190.51,14,211.48,212.75,187.98,35.43,Yes,,,THSWPA,,2017-01-28,USA,TX,Sulphur Springs,SS Invitational,Yes
Sienna Hernandez,F,SBD,Unlimited,,,,Girls,51.8,51.9,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,2021-03-15,USA,TX,Corpus Christi,5A Big School State Meet,Yes
Jalynn Felan,F,SBD,Single-ply,,,,Girls,76.75,82.3,,,,,102.06,,,,,45.36,,,,,97.52,244.94,12,235.71,229.57,201.75,40.01,Yes,,,THSWPA,,2015-02-21,USA,TX,Crystal City,Javelina Power Fest,Yes
Lashae Garcia,F,SBD,Single-ply,,18-19,,Girls,88.63,90,,,,,145.15,,,,,74.84,,,,,104.33,324.32,3,291.12,282.06,245.52,49.98,Yes,,,THSWPA,,2019-02-14,USA,TX,San Angelo,Lake View Ironworks Invitational,Yes
Hailey Council,F,SBD,Single-ply,,,,Girls,70.85,75,,,,,102.06,,,,,54.43,,,,,124.74,281.23,10,282.49,277.48,244.52,47.70,Yes,,,THSWPA,,2018-02-17,USA,TX,San Marcos,Rattler Invitaional,Yes
Danielle Garcia,F,SBD,Single-ply,17.5,18-19,14-18,Girls,94.35,100,,,,,145.15,,,,,63.5,,,,,136.08,344.73,6,301.16,292.49,253.01,51.98,Yes,USA,,THSWPA,,2016-03-05,USA,TX,Kyle Lehman,Region 2 Division 1,Yes
Kaitlynn Gonzalez,F,SBD,Single-ply,,,,Girls,47.08,47.8,,,,,142.88,,,,,70.31,,,,,136.08,349.27,1,457.17,469.16,418.17,76.43,Yes,,,THSWPA,,2020-01-18,USA,TX,San Diego,Brush Country Classic,Yes
Ennette Diaz,F,SBD,Single-ply,,,,Girls,58.74,60.1,,,,,133.81,,,,,81.65,,,,,,,DQ,,,,,Yes,,,THSWPA,,2019-03-15,USA,TX,WACO,5A State Meet,Yes
Madison Chalenburg,F,SBD,Single-ply,,18-19,,Girls,51.07,51.9,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,2018-02-24,USA,TX,Chico Chico,Girls Region 6 Division 3,Yes
Hannah Caldwell,F,SBD,Single-ply,,18-19,,Girls,54.43,56,,,,,74.84,,,,,34.02,,,,,104.33,213.19,3,251.85,256.49,227.03,42.10,Yes,,,THSWPA,,2019-01-26,USA,TX,Fort Stockton,Power Classic Fort Stockton,Yes
Mireya Rangel,F,SBD,Single-ply,,,,Girls,66.68,67.3,,,,,122.47,,,,,63.5,,,,,122.47,308.44,6,320.70,317.59,280.21,53.97,Yes,,,THSWPA,,2017-01-28,USA,TX,Alice,3rd Annual Coyote Classic,Yes
Lorraine Herd,F,SBD,Single-ply,,18-19,,Girls,137.98,117.7+,,,,,154.22,,,,,90.72,,,,,142.88,387.82,1,301.54,302.38,254.73,53.44,Yes,,,THSWPA,,2020-01-30,USA,TX,Comanche,Comanche Invitational,Yes
Sandy Clarkin,F,SBD,Single-ply,,,,Girls,44.54,47.8,,,,,72.57,,,,,38.56,,,,,92.99,204.12,3,278.53,285.06,255.35,46.63,Yes,,,THSWPA,,2015-01-29,USA,TX,Seguin Texas,Seguin Matador Invitational,Yes
Sydney Barton,F,SBD,Single-ply,,,,Girls,43.64,44.2,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,2015-01-17,USA,TX,Giddings HIgh School,Giddings Powerlifting Meet,Yes
Ashlynn Hogan,F,SBD,Single-ply,,,,Girls,103.96,100+,,,,,115.67,,,,,45.36,,,,,136.08,297.1,10,249.83,244.75,209.19,43.49,Yes,,,THSWPA,,2016-03-08,USA,TX,Corpus Christi,Girls State Meet,Yes
Emma McClure,F,SBD,Unlimited,,18-19,,Girls,55.79,56,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,2024-03-01,USA,TX,Bay City,Region 4 Class Large 3A Regional Meet,Yes
Madison Huff,F,SBD,Unlimited,,,,Girls,65.23,67.3,,,,,79.38,,,,,49.9,,,,,102.06,231.33,5,243.65,242.06,213.64,40.96,Yes,,,THSWPA,,2022-02-17,USA,TX,Nederland,Nederland,Yes
Cagen Burkard,F,SBD,Single-ply,,16-17,14-18,Girls,83.46,90,,,,,122.47,,,,,61.23,,,,,99.79,283.5,3,261.67,253.63,221.83,44.70,Yes,,,THSWPA,,2018-02-17,USA,TX,Paris,Paris Invitaional,Yes
Cassidy Schubert,F,SBD,Single-ply,,18-19,,Girls,72.57,75,,,,,142.88,,,,,65.77,,,,,156.49,365.14,2,361.97,354.54,312.22,61.22,Yes,,,THSWPA,,2017-02-18,USA,TX,Forney,10th Annual Forney Jackrabbit Invitational,Yes
Fatima Luna,F,SBD,Unlimited,,,,Girls,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,,,THSWPA,,2024-03-01,USA,TX,Commerce,Region III 1A/2A Regional Meet - No Unequipped,Yes
Gina Jaworski,F,SBD,Single-ply,,18-19,,Girls,73.39,75,,,,,156.49,,,,,113.4,,,,,151.95,421.84,1,415.65,406.60,357.94,70.35,Yes,,,THSWPA,,2019-01-17,USA,TX,Wylie,Katie Hathaway Invitational,Yes
Raquel Oziran,F,SBD,Unlimited,,,,Girls,70.67,75,,,,,113.4,,,,,52.16,,,,,138.35,303.91,2,305.70,300.38,264.72,51.62,Yes,,,THSWPA,,2024-03-03,USA,TX,,Girls Region 2 Unequipped,Yes
Lanie Lawrence,F,SBD,Unlimited,,,,Girls,93.89,100,,,,,102.06,,,,,56.7,,,,,102.06,260.82,2,228.32,221.69,191.86,39.39,Yes,,,THSWPA,,2022-02-10,USA,TX,Comanche,Comanche Invitational GIRLS,Yes
Priscilla Padron,F,SBD,Single-ply,,,,Girls,47.54,47.8,,,,,83.91,,,,,31.75,,,,,99.79,215.46,8,280.01,287.38,255.96,46.81,Yes,,,THSWPA,,2017-02-04,USA,TX,Mathis,Mathis Invitational,Yes
Lauren Tran,F,SBD,Single-ply,,,,Girls,43.73,44.2,,,,,81.65,,,,,40.82,,,,,99.79,222.26,5,307.58,314.24,282.05,51.53,Yes,,,THSWPA,,2020-02-18,USA,TX,Commerce,Raising the Bar Commerce Invitational Girls,Yes
Allison Dentler,F,SBD,Single-ply,,,,Girls,74.57,75,,,,,124.74,,,,,61.23,,,,,113.4,299.37,2,292.47,285.62,251.30,49.55,Yes,,,THSWPA,,2019-02-16,USA,TX,Ganado,Ganado Classic,Yes
McKenna Veal,F,SBD,Single-ply,,,,Girls,74.84,75,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,2014-02-06,USA,TX,Warren,Warren Girls Powerlifting Meet,Yes
Elizabeth Chavez #1,F,SBD,Single-ply,,18-19,,Girls,45.63,47.8,,,,,133.81,,,,,54.43,,,,,120.2,308.44,1,413.25,423.63,378.58,69.14,Yes,,,THSWPA,,2018-03-03,USA,TX,Fairfield,Region 3 Division 2 Girls,Yes
Karmaurie Oliphant,F,SBD,Unlimited,,,,Girls,79.38,82.3,,,,,61.23,,,,,43.09,,,,,92.99,197.31,4,186.64,181.33,159.09,31.76,Yes,,,THSWPA,,2024-01-10,USA,TX,West Sabine Old Gym,West Sabine Invitational 1,Yes
Lonna Gonzalez,F,SBD,Single-ply,,16-17,14-18,Girls,79.83,82.3,,,,,145.15,,,,,70.31,,,,,122.47,337.93,1,318.75,309.58,271.53,54.26,Yes,,,THSWPA,,2019-02-16,USA,TX,Hebbronville,Hebbronville Invitational,Yes
Rebecca Parks,F,SBD,Single-ply,,16-17,,Girls,88.99,90,,,,,95.25,,,,,49.9,,,,,117.93,263.08,5,235.72,228.40,198.74,40.48,Yes,,,THSWPA,,2014-02-13,USA,TX,Brady,H.O.T. Powerlifting Championship,Yes
Mariana Coronel,F,SBD,Single-ply,,,,Girls,59.06,60.1,,,,,106.59,,,,,58.97,,,,,113.4,278.96,1,312.35,314.85,278.24,52.31,Yes,,,THSWPA,,2020-01-28,USA,TX,GHS Big Room,GHS Girls Closet Meet,Yes
Lizet Anett,F,SBD,Single-ply,,16-17,,Girls,58.92,60.1,,,,,99.79,,,,,47.63,,,,,99.79,247.21,2,277.22,279.53,247.04,46.42,Yes,,,THSWPA,,2015-01-31,USA,TX,Dimmitt,Bobcat Invitational,Yes
Abbie Martin,F,SBD,Unlimited,,,,Girls,100.29,117.7,,,,,133.81,,,,,68.04,,,,,127.01,328.85,1,280.31,273.56,234.93,48.64,Yes,,,THSWPA,,2022-02-16,USA,TX,Hamshire,EC-HF 5,Yes
Destiny Garza,F,SBD,Single-ply,,,,Girls,53.89,56,,,,,113.4,,,,,58.97,,,,,115.67,288.03,5,342.57,349.24,309.21,57.26,Yes,,,THSWPA,,2019-01-19,USA,TX,La Joya Texas,La Joya Powerlifting Invitational,Yes
Alexis Neely,F,SBD,Single-ply,15.5,16-17,14-18,Girls,51.71,51.9,,,,,127.01,,,,,40.82,,,,,138.35,306.17,4,374.65,383.33,339.86,62.59,Yes,USA,,THSWPA,,2016-03-03,USA,TX,Troup Texas,Girls Region 3 Division 3,Yes
Jazmin Bustamante,F,SBD,Single-ply,,,,Girls,56.61,60.1,,,,,83.91,,,,,34.02,,,,,92.99,210.92,9,242.74,246.07,217.61,40.61,Yes,,,THSWPA,,2016-01-13,USA,TX,Big Spring,Big Spring Invitational,Yes
Kaylyn Muirhead,F,SBD,Unlimited,,,,Girls,63.5,67.3,,,,,70.31,,,,,49.9,,,,,70.31,190.51,9,203.92,203.38,179.57,34.24,Yes,,,THSWPA,,2024-02-07,USA,TX,Huffman-Hargrave,Huffman Invitatioinal,Yes
Jenaya Alkire,F,SBD,Unlimited,,,,Girls,66.86,67.3,,,,,108.86,,,,,45.36,,,,,113.4,267.62,3,277.82,275.02,242.64,46.76,Yes,,,THSWPA,,2022-02-16,USA,TX,Alvin Fieldhouse,Alvin Girls LQM,Yes
Alexis Mojica,F,SBD,Single-ply,16.5,16-17,14-18,Girls,58.15,60.1,,,,,136.08,,,,,52.16,,,,,151.95,340.19,2,384.73,388.63,343.53,64.40,Yes,USA,,THSWPA,,2016-02-06,USA,TX,St. Joseph,St. Joseph Flyer PowerFest,Yes
Lainey McDonald,F,SBD,Single-ply,,18-19,,Girls,46.99,47.8,,,,,74.84,,,,,40.82,,,,,92.99,208.65,8,273.49,280.66,250.19,45.73,Yes,,,THSWPA,,2019-02-21,USA,TX,Waller,Girls Region 4 Division 1,Yes
Natalie Gonzalez,F,SBD,Single-ply,,,,Girls,51.53,51.9,,,,,61.23,,,,,47.63,,,,,92.99,201.85,9,247.60,253.40,224.70,41.37,Yes,,,THSWPA,,2019-02-16,USA,TX,Poth Gym,Poth Powerlifting Meet,Yes
Johannes Hauf,M,SBD,Wraps,19,18-19,19-23,T 18-19,100.5,110,160,170,-180,,170,90,100,-105,,100,150,160,175,,175,445,1,273.32,270.29,258.13,56.08,,Germany,,WUAP,WUAP,2019-06-17,Germany,,Frauenau,European Championships,Yes
Uwe Herfort,M,B,Multi-ply,58,55-59,50-59,M 55-59,75.3,82.5,,,,,,-130,137.5,150,,150,,,,,,150,1,107.34,106.59,102.97,57.56,,Germany,,WUAP,WUAP,2018-10-15,Slovakia,,Trnava,World Championships,Yes
Karin Kaule Inge,F,B,Multi-ply,56.5,55-59,50-59,M 55-59,50.5,52,,,,,,47.5,50,52.5,-53,52.5,,,,,,52.5,1,65.32,66.94,59.41,37.28,,Germany,,WUAP,WUAP,2009-05-27,Germany,,Herzberg,European Championships,Yes
Luboš Šos,M,D,Raw,43,40-44,40-49,M40-49,93.9,100,,,,,,,,,,,230,245,262.5,,262.5,262.5,2,166.25,164.16,157.06,,,Czechia,,FCST,GPC,2021-11-06,Czechia,,Hošťálková,Otevřené Mezinárodní Mistrovství ČR v mrtvém tahu,Yes
Richard Matias,M,SBD,Raw,,,40-49,M1,71.9,74,137.5,145,150,,150,75,80,-85,,80,140,150,-155,,150,380,1,280.27,279.09,270.16,56.63,Yes,,,APU,IPF,2021-01-17,Australia,WA,Perth,Legendary Lifting Open,Yes
Kellie Socratous,F,SBD,Raw,40,40-44,40-49,FR-M1,83.74,84,115,125,130,,130,70,72.5,-75,,72.5,125,135,145,,145,347.5,1,320.23,310.36,271.39,65.70,Yes,,,APU,IPF,2023-08-05,Australia,WA,,States in the Bank,Yes
Steve Lee,M,SBD,Raw,,,,M_OR_ACPF,75,75,,,,,152.5,,,,,122.5,,,,,155,430,1,308.49,306.40,296.06,62.69,Yes,,,CPF,WPC,2010-06-12,Canada,ON,,Raw Nationals,Yes
Raj Kumar Khatana,M,SBD,Raw,,60-64,60-69,M_MR_5_WPC,94,100,75,85,,,85,100,,,,100,110,,,,110,295,1,186.74,184.39,176.41,38.39,,India,,WPC-India,WPC,2024-03-30,India,,,National Championships,Yes
Lina O'Sullivan,F,SBD,Raw,,,,F-SR,60.2,63,105,110,115,,115,-57.5,-57.5,57.5,,57.5,127.5,132.5,137.5,,137.5,310,6,342.93,344.73,304.57,69.91,Yes,Ireland,,IrishPF,IPF,2016-02-27,Ireland,,,National Championships,Yes
F. Olivera,M,B,Single-ply,,,,Open,82,82.5,,,,,,-150,-170,170,,170,,,,,,170,3,115.56,114.30,110.01,61.04,Yes,,,NPB,IPF,2000-05-07,Netherlands,NH,Alkmaar,Dutch Bench Press Championships,Yes
Sandro Bartolucci,M,D,Raw,19,18-19,19-23,M-O,104.3,110,,,,,,,,,,,200,220,-230,,220,220,2,133.04,131.77,125.83,,Yes,Switzerland,,SDFPF,WDFPF,2022-09-25,Switzerland,,Brügg,Single Lift and Powerlifting Championship,Yes
Andrei Huk,M,B,Single-ply,28.5,24-34,24-39,Open,70.7,75,,,,,,200,210,-232.5,,210,,,,,,210,1,156.66,156.19,151.30,85.18,Yes,Belarus,,BelPF,IPF,2008-05-29,Belarus,,Minsk,Belarus Bench Press Championships,Yes
Andrey Terena,M,SBD,Single-ply,18.5,18-19,19-23,Open,80.9,82.5,,,,,165,,,,,125,,,,,225,515,6,352.80,349.14,336.24,60.38,Yes,Belarus,,BelPF,IPF,1994-10-07,Belarus,,Polots,Belarus Powerlifting Championships,Yes
Andrew Hudgins,M,SBD,Raw,23,20-23,,Juniors 20-23,98.2,100,170,182.5,185,,185,110,120,,,120,195,205,,,205,510,1,316.42,312.69,298.76,64.99,Yes,USA,,NORCAL,,2018-10-28,USA,CA,Concord,Mental Health,Yes
Sergiy Stashenko,M,B,Raw,21,20-23,19-23,J,81.2,82.5,,,,,,117.5,120,-125,,120,,,,,,120,3,82.03,81.17,78.16,60.96,Yes,Ukraine,,UDFPF,WDFPF,2009-12-26,Ukraine,,Belgorod-Dnestrovskiy,Black Sea Cup International Bench Press,Yes
Vitaliy Vovk,M,D,Raw,35.5,35-39,24-39,O,93,100,,,,,,,,,,,250,-260,,,250,250,5,159.06,157.05,150.31,,Yes,Ukraine,,UDFPF,WDFPF,2011-03-19,Ukraine,,Cherkasy,Ukrainian Single Event Championships,Yes
Oleksandr Ivanov,M,SBD,Raw,37.5,35-39,24-39,PFM,89.4,90,150,-160,160,,160,100,105,110,,110,185,-195,195,,195,465,2,301.69,297.87,285.56,62.02,Yes,Ukraine,,UDFPF,WDFPF,2012-11-16,Ukraine,,Obukhov,Ukrainian Powerlifting Championships,Yes
Flo Napasab,F,SBD,Raw,22,20-23,19-23,Juniors,62.1,63,-105,115,-122.5,,115,60,-67.5,-72.5,,60,132.5,142.5,150,,150,325,1,352.63,352.87,311.65,71.77,Yes,Thailand,,ThaiPF,IPF,2019-08-10,Thailand,,Bangkok,National Qualifier 2,Yes
Jonte Hawkins,M,B,Raw,,,,Novice,125,125,,,,,,,,,,122.47,,,,,,122.47,1,69.41,69.79,66.79,50.78,Yes,USA,NC,IronBoy,,2017-03-04,USA,NC,Norlina,Northeastern Carolina Push Pull,Yes
Aaron Graytock,M,B,Single-ply,,18-19,,Teen 18-19,107.73,110,,,,,,,,,,145,,,,,,145,1,86.57,85.90,82.05,44.51,,,,USPF,,2009-04-09,USA,WV,New Martinsville,Works Fitness Meet,Yes
Vijin Krishna V T,M,SBD,Single-ply,25,24-34,24-39,Open,137.9,120+,340,-360,370,,370,160,175,180,,180,252.5,267.5,-280,,267.5,817.5,6,449.92,457.87,435.69,75.27,Yes,,,PI,IPF,2021-02-17,India,,Coimbatore,Indian Powerlifting Championships,Yes
Atul Singh,M,B,Single-ply,17,16-17,14-18,Sub-Juniors,89.7,93,,,,,,-125,,,,,,,,,,,DQ,,,,,Yes,,,PI,IPF,2019-11-23,India,,New Delhi,Indian Bench Press Championships,Yes
Yakov Berman,M,B,Raw,36.5,35-39,24-39,Pro Open,100,,,,,,,180,-190,-190,,180,,,,,,180,3,110.79,109.55,104.63,82.46,,,,WPC-RUS,WPC,2009-05-09,Russia,,Beryozovskiy,Raw Bench Press Cup meet,Yes
Ekaterina Anisimova,F,B,Unlimited,36,35-39,24-39,Pro Open,55.75,56,,,,,,65,72.5,-77.5,,72.5,,,,,,72.5,1,84.29,85.60,75.73,47.58,,,,WPC-RUS,WPC,2019-01-26,Russia,SAM,,Epiphany Press,Yes
Maksim Podlesnyy,M,D,Raw,23,20-23,19-23,Amateur Open,127.2,140,,,,,,,,,,,225,235,250,,250,250,1,140.92,141.97,135.78,,Yes,,,WPC-RUS,WPC,2013-12-15,Russia,KDA,Krasnodar,Power Cup,Yes
Stanislav Karpov,M,B,Raw,40.5,40-44,40-49,Amateur Masters 40-44,147.1,140+,,,,,,180,185,190,,190,,,,,,190,1,102.71,105.42,99.82,73.90,Yes,Russia,,WPC-RUS,WPC,2012-08-25,Russia,MOW,Moscow,Kremlin Bench Press,Yes
